Year,Month,Chinese Entity,Quantity in Millions,Share Size,Transaction Party,Sector,Subsector,Country,Region,OBOR
2008,May,"China National Chemical Engineering, Genertec",$900 ,,PVN,Chemicals,,Vietnam,East Asia,1
2008,May,Sinohydro,$100 ,,,Other,Medical,Dem. Rep. Congo,Sub-Saharan Africa,0
2008,May,State Construction Engineering,"$2,140 ",,,Transport,Autos,Congo,Sub-Saharan Africa,0
2008,May,Sinoma,$130 ,,,Real estate,Construction,Cyprus,Europe,0
2008,May,China National Building Material,$170 ,,Vicat and Kazkommerts,Real estate,Construction,Kazakhstan,West Asia,1
2008,May,MCC,$290 ,,,Transport,Autos,Sri Lanka,West Asia,1
2008,May,Chinalco,"$2,160 ",,,Metals,Copper,Peru,South America,0
2008,June,"Sinomach, Gezhouba",$540 ,,,Energy,Hydro,Cambodia,East Asia,1
2008,June,MCC,$200 ,,,Metals,Steel,Iran,West Asia,1
2008,June,China National Building Material,$110 ,,,Real estate,Construction,Turkey,West Asia,1
2008,June,CITIC,"$2,940 ",,,Real estate,Construction,Angola,Sub-Saharan Africa,0
2008,June,Shanghai Electric,"$1,310 ",,SASAN,Energy,Coal,India,West Asia,1
2008,June,COFCO,$140 ,5%,Smithfield Foods,Agriculture,,United States,USA,0
2008,June,CNPC,"$4,990 ",,,Energy,Oil,Niger,Sub-Saharan Africa,0
2008,June,SAFE,"$2,510 ",20%,TPG fund,Finance,Investment,United States,USA,0
2008,June,China National Nuclear,$190 ,,,Metals,,Niger,Sub-Saharan Africa,0
2008,June,Zoomlion,$250 ,60%,Compagnia Italiana Forme Acciaio,Real estate,Construction,Italy,Europe,0
2008,June,Huadian,$580 ,,,Energy,Hydro,Cambodia,East Asia,1
2008,July,Sinomach,$140 ,,,Agriculture,,Venezuela,South America,0
2008,July,Sinomach,$120 ,,,Energy,,Malaysia,East Asia,1
2008,July,Chinalco,$460 ,,Vinacomin,Metals,Aluminum,Vietnam,East Asia,1
2008,July,Guangdong Overseas Construction,$610 ,,King Khalid University,Other,Education,Saudi Arabia,Arab Middle East and North Africa,1
2008,July,MCC,$520 ,,Genting,Tourism,,Singapore,East Asia,1
2008,July,China Communications Construction,$990 ,,African Finance Corporation,Transport,Autos,Nigeria,Sub-Saharan Africa,0
2008,July,China Communications Construction,$440 ,,,Transport,Shipping,Nigeria,Sub-Saharan Africa,0
2008,July,Sinochem,$200 ,51%,GMG Global,Agriculture,,Singapore,East Asia,1
2008,July,CNOOC,"$2,490 ",100%,Awilco Offshore,Energy,Oil,Norway,Europe,0
2008,July,China Railway Engineering,"$1,190 ",28%,Congo Simco,Metals,Copper,Dem. Rep. Congo,Sub-Saharan Africa,0
2008,July,MCC and Sinohydro,"$1,350 ","20%, 20%",,Metals,Copper,Dem. Rep. Congo,Sub-Saharan Africa,0
2008,July,Sinosteel,"$1,320 ",51%,Midwest,Metals,Steel,Australia,Australia,0
2008,July,China Nonferrous,$810 ,50%,Tagaung Taung,Metals,,Myanmar,East Asia,1
2008,August,Sinomach,$240 ,,,Energy,,Indonesia,East Asia,1
2008,August,Jiansu International,$110 ,,Greater Nile Petroleum,Real estate,Construction,Sudan,Arab Middle East and North Africa,0
2008,August,SEPCO III,$140 ,,,Energy,Gas,Jordan,Arab Middle East and North Africa,1
2008,August,Shanghai Tunnel Engineering,$310 ,,,Transport,Rail,Singapore,East Asia,1
2008,September,China Communications Construction,$220 ,,,Transport,Shipping,Egypt,Arab Middle East and North Africa,1
2008,September,Genertec,$330 ,,,Energy,,Belarus,Europe,1
2008,September,Sinopec,"$1,990 ",100%,Tanganyika Oil,Energy,Oil,Syria,Arab Middle East and North Africa,1
2008,September,Jiangsu Shagang and RGL Group,$360 ,45%,Grange Resources,Metals,Steel,Australia,Australia,0
2008,September,Sany Heavy,$140 ,,,Real estate,Construction,Germany,Europe,0
2008,September,China Ocean Shipping,$330 ,29%,Yantai Raffles Shipyard,Transport,Shipping,Singapore,East Asia,1
2008,October,Three Gorges-led consortium,$880 ,,,Energy,Hydro,Malaysia,East Asia,1
2008,October,Sinohydro,$280 ,,Zesco,Energy,Hydro,Zambia,Sub-Saharan Africa,0
2008,October,Three Gorges,$160 ,,,Energy,Hydro,India,West Asia,1
2008,October,MCC,$150 ,,,Utilities,,Mozambique,Sub-Saharan Africa,0
2008,October,Sinoma,$210 ,,Lafarge,Real estate,Construction,Ukraine,Europe,1
2008,October,Sinoma,$440 ,,Holcim,Real estate,Construction,Azerbaijan,West Asia,1
2008,October,ZTE,$400 ,,Aircel,Technology,Telecom,India,West Asia,1
2008,October,China Communications Construction,$680 ,,,Transport,Autos,Malaysia,East Asia,1
2008,October,Sinomach,$200 ,,,Other,Medical,Angola,Sub-Saharan Africa,0
2008,October,Sinohydro,$140 ,,,Utilities,,Qatar,Arab Middle East and North Africa,1
2008,October,Datong,$760 ,,Hema Enerji,Energy,Coal,Turkey,West Asia,1
2008,October,CIC,$200 ,3%,Blackstone,Finance,Investment,United States,USA,0
2008,October,Shenhua,$190 ,,,Energy,Coal,Australia,Australia,0
2008,November,Sinohydro,$250 ,,PLN,Energy,Coal,Indonesia,East Asia,1
2008,November,Shenzhen Energy,"$2,400 ",,First Bank,Energy,Gas,Nigeria,Sub-Saharan Africa,0
2008,November,Sinohydro,$400 ,,,Energy,Hydro,Gabon,Sub-Saharan Africa,0
2008,November,Zhongmei Engineering,$120 ,,,Transport,Autos,Ethiopia,Sub-Saharan Africa,1
2008,November,Three Gorges,$320 ,,,Transport,Shipping,Pakistan,West Asia,1
2008,November,China Communications Construction,$160 ,,,Transport,Shipping,Egypt,Arab Middle East and North Africa,1
2008,November,China Ocean Shipping,"$4,580 ",,,Transport,Shipping,Greece,Europe,0
2008,December,CNPC,"$3,290 ",,International Petroleum Investment,Energy,Oil,United Arab Emirates,Arab Middle East and North Africa,1
2008,December,Datang,$370 ,,,Energy,,Cambodia,East Asia,1
2008,December,State Construction Engineering,$260 ,,,Transport,Autos,United Arab Emirates,Arab Middle East and North Africa,1
2008,December,China Communications Construction,$200 ,,African Development Bank,Transport,Autos,Gabon,Sub-Saharan Africa,0
2008,December,Xinjiang Guanghui,$250 ,49%,Tarbagatay Munay,Energy,,Kazakhstan,West Asia,1
2008,December,Wuhan Iron and Steel and China Development Bank,$110 ,,,Metals,Steel,Liberia,Sub-Saharan Africa,0
2009,January,Sinohydro,$100 ,,,Energy,Hydro,Botswana,Sub-Saharan Africa,0
2009,January,Sinohydro,$160 ,,,Energy,Hydro,Mali,Sub-Saharan Africa,0
2009,January,Sinomach,$300 ,,,Utilities,,Angola,Sub-Saharan Africa,0
2009,January,China National Chemical Engineering,$440 ,,European Nickel,Metals,Steel,Turkey,West Asia,1
2009,January,State Construction Engineering,$440 ,,Al Tamouh Investment,Real estate,construction,United Arab Emirates,Arab Middle East and North Africa,1
2009,January,State Construction Engineering,$230 ,,,Other,Medical,United Arab Emirates,Arab Middle East and North Africa,1
2009,January,Huawei,$240 ,,Costa Rican Electricity,Technology,Telecom,Costa Rica,North America,0
2009,January,Sinohydro,$220 ,,,Transport,Autos,Sudan,Arab Middle East and North Africa,0
2009,January,CNPC,"$1,760 ",,National Iranian Oil,Energy,Oil,Iran,West Asia,1
2009,January,CNPC,$500 ,,,Energy,Oil,Mongolia,East Asia,1
2009,February,Sinomach,$140 ,,,Energy,Hydro,Madagascar,Sub-Saharan Africa,0
2009,February,Sinomach,$580 ,,,Energy,,Philippines,East Asia,1
2009,February,China Railway Construction,$390 ,21%,,Transport,Rail,Saudi Arabia,Arab Middle East and North Africa,1
2009,February,China Communications Construction,$100 ,,,Transport,Shipping,Saudi Arabia,Arab Middle East and North Africa,1
2009,February,China Communications Construction,"$1,130 ",,,Transport,Shipping,Angola,Sub-Saharan Africa,0
2009,February,China Railway Construction,"$1,160 ",,,Transport,Rail,Saudi Arabia,Arab Middle East and North Africa,1
2009,February,Three Gorges,$180 ,,,Real estate,Construction,Pakistan,West Asia,1
2009,February,China Communications Construction,$260 ,,,Transport,Autos,Tajikistan,West Asia,1
2009,February,Hunan Valin,$770 ,17%,Fortescue Metals,Metals,Steel,Australia,Australia,0
2009,February,Shougang,$990 ,,,Metals,Steel,Peru,South America,0
2009,March,Sinomach,$100 ,,,Energy,Alternative,Czech Rep.,Europe,1
2009,March,Sinohydro,$390 ,,,Energy,Hydro,Togo,Sub-Saharan Africa,0
2009,March,Sinoma,$140 ,,George Forrest Congo,Real estate,Construction,Congo,Sub-Saharan Africa,0
2009,March,State Construction Engineering,$410 ,,,Transport,Autos,United States,USA,0
2009,March,Sinomach,$170 ,,GuySuCo,Agriculture,,Guyana,South America,0
2009,March,Wuhan Iron and Steel,$240 ,20%,Consolidated Thompson,Metals,Steel,Canada,North America,0
2009,March,CIC,$800 ,,Morgan Stanley,Real estate,Property,United States,USA,0
2009,March,CNPC,"$2,990 ",,,Energy,Oil,Iraq,Arab Middle East and North Africa,1
2009,April,Huaneng,$430 ,93%,,Energy,Hydro,Myanmar,East Asia,1
2009,April,Sinopec,$230 ,,Kuwait Oil,Energy,,Kuwait,Arab Middle East and North Africa,1
2009,April,CNPC,"$2,600 ",,MangistauMunaiGas,Energy,Gas,Kazakhstan,West Asia,1
2009,April,Tianjin Pipe,"$1,300 ",,,Metals,Steel,United States,USA,0
2009,April,Jiangsu Taihu,$320 ,,,Real estate,Property,Cambodia,East Asia,1
2009,May,MCC,"$1,860 ",,Palmer's Mineralology,Energy,Coal,Australia,Australia,0
2009,May,Sinohydro,$150 ,,,Energy,Hydro,Fiji,East Asia,0
2009,May,Sinomach,$400 ,,,Metals,Aluminum,Trinidad and Tobago,North America,0
2009,May,Huawei,$200 ,,Unitech,Technology,Telecom,India,West Asia,1
2009,May,China Railway Engineering,$350 ,,,Transport,Rail,Vietnam,East Asia,1
2009,May,MCC,$520 ,10%,Mineralogy,Energy,Coal,Australia,Australia,0
2009,May,CNOOC and Sinopec,$320 ,100%,Talisman Energy,Energy,Oil,Trinidad and Tobago,North America,0
2009,May,CNPC,"$1,020 ",46%,Singapore Petroleum,Energy,Oil,Singapore,East Asia,1
2009,May,HNA,$150 ,,Allco Finance,Finance,Investment,Australia,Australia,0
2009,May,China Nonferrous,$370 ,85%,,Metals,Copper,Zambia,Sub-Saharan Africa,0
2009,May,Najinzhao,$100 ,100%,Cardero,Metals,Steel,Peru,South America,0
2009,May,Guangdong Rising Asset Management,$140 ,20%,PanAust,Metals,,Australia,Australia,0
2009,June,Sinomach,$890 ,,,Energy,Coal,Sri Lanka,West Asia,1
2009,June,Sinomach,$670 ,,,Energy,Hydro,Zambia,Sub-Saharan Africa,0
2009,June,China Railway Construction,"$2,570 ",,,Transport,Rail,Algeria,Arab Middle East and North Africa,0
2009,June,Sinohydro,$640 ,,,Real estate,Construction,Qatar,Arab Middle East and North Africa,1
2009,June,China Railway Engineering,$160 ,,,Transport,Autos,Tanzania,Sub-Saharan Africa,0
2009,June,CNPC,"$1,020 ",51%,,Energy,,Myanmar,East Asia,1
2009,June,Sinopec,"$7,200 ",100%,Addax Petroleum,Energy,,Switzerland,Europe,0
2009,June,CIC,"$1,210 ",1%,Morgan Stanley,Finance,Banking,United States,USA,0
2009,June,CIC,$500 ,,Blackstone,Finance,Investment,United States,USA,0
2009,June,CIC,$710 ,,Blackrock,Finance,Investment,United States,USA,0
2009,June,Ansteel,$130 ,24%,Gindalbie Metals,Metals,Steel,Australia,Australia,0
2009,June,Minmetals,"$1,390 ",51%,Oz Minerals,Metals,,Australia,Australia,0
2009,July,Sinohydro,"$2,420 ",,,Energy,Hydro,Ethiopia,Sub-Saharan Africa,1
2009,July,"Shandong Electric Power, Dongfang Electric","$1,650 ",,Saudi Electricity Company,Energy,Oil,Saudi Arabia,Arab Middle East and North Africa,1
2009,July,Genertec,$270 ,,,Energy,,Sudan,Arab Middle East and North Africa,0
2009,July,Three Gorges,$110 ,,,Utilities,,Philippines,East Asia,1
2009,July,China Railway Construction,$530 ,,,Other,Education,Saudi Arabia,Arab Middle East and North Africa,1
2009,July,China National Building Material,$110 ,,Les Ciments de Bizerte,Real estate,Construction,Tunisia,Arab Middle East and North Africa,0
2009,July,China National Building Material,$120 ,,MIZU,Real estate,Construction,Mongolia,East Asia,1
2009,July,CIC,$370 ,1%,Diageo,Agriculture,,United Kingdom,Europe,0
2009,July,Shenhua,$230 ,70%,Energi Musi Makmur,Energy,Coal,Indonesia,East Asia,1
2009,July,Chinalco,"$1,500 ",1%,Rio Tinto,Metals,Aluminum,Australia,Australia,0
2009,July,CIC,"$1,500 ",17%,Teck Resources,Metals,Copper,Canada,North America,0
2009,July,Haicheng Xiyang Group,$480 ,,,Metals,Steel,Russia,West Asia,0
2009,July,Tianjin Development,$280 ,,,Real estate,Construction,Egypt,Arab Middle East and North Africa,1
2009,July,"Taiyuan Iron, China Development Bank, Shanxi Coking Coal, and Tianli Enterprises",$740 ,"34%, 33%, 21%, 12%",,Real estate,Property,Mauritius,Sub-Saharan Africa,0
2009,August,Gezhouba,$210 ,,Electricite du Laos,Energy,Hydro,Laos,East Asia,1
2009,August,Sinomach,$190 ,,ZESCO,Energy,Hydro,Zambia,Sub-Saharan Africa,0
2009,August,State Construction Engineering,$260 ,,,Transport,Autos,Algeria,Arab Middle East and North Africa,0
2009,August,Sinohydro,$140 ,,,Transport,Autos,Gabon,Sub-Saharan Africa,0
2009,August,"MCC, China Architecture Design",$180 ,,,Real estate,Construction,Algeria,Arab Middle East and North Africa,0
2009,August,Sinoma,$400 ,,Yanbu Cement,Real estate,construction,Saudi Arabia,Arab Middle East and North Africa,1
2009,August,Shandong Electric Power,$720 ,,,Energy,,Oman,Arab Middle East and North Africa,1
